,ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Total_Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
11,387,1976,36,Primary/Secondary,Partnered,7500.0,0,0,2012-11-13,59,61,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
12,2125,1959,54,Undergraduates,Single,63033.0,0,0,2013-11-15,82,1102,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
13,8180,1952,61,Masters,Single,59354.0,1,1,2013-11-15,53,310,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
14,2569,1987,25,Undergraduates,Partnered,17323.0,0,0,2012-10-10,38,46,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
15,2114,1946,66,Doctorates,Single,82800.0,0,0,2012-11-24,23,1315,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1
16,9736,1980,33,Undergraduates,Partnered,41850.0,1,1,2012-12-24,51,96,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0
17,4939,1946,66,Undergraduates,Partnered,37760.0,0,0,2012-08-31,20,317,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
18,6565,1949,64,Masters,Partnered,76995.0,0,1,2013-03-28,91,1782,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0
19,2278,1985,27,Masters,Single,33812.0,1,0,2012-11-03,86,133,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
20,9360,1982,30,Undergraduates,Partnered,37040.0,0,0,2012-08-08,41,316,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
21,5376,1979,34,Undergraduates,Partnered,2447.0,1,0,2013-01-06,42,1730,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
22,1993,1949,64,Doctorates,Partnered,58607.0,0,1,2012-12-23,63,972,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0
23,4047,1954,60,Doctorates,Partnered,65324.0,0,1,2014-01-11,0,544,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
24,1409,1951,62,Undergraduates,Partnered,40689.0,0,1,2013-03-18,69,444,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
25,7892,1969,44,Undergraduates,Single,18589.0,0,0,2013-01-02,89,75,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
26,2404,1976,37,Undergraduates,Partnered,53359.0,1,1,2013-05-27,4,257,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
27,5255,1986,27,Undergraduates,Single,51381.5,1,0,2013-02-20,19,637,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0
28,9422,1989,24,Undergraduates,Partnered,38360.0,1,0,2013-05-31,26,131,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
29,1966,1965,48,Doctorates,Partnered,84618.0,0,0,2013-11-22,96,1672,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0
30,6864,1989,25,Masters,Single,10979.0,0,0,2014-05-22,34,30,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
31,3033,1963,50,Masters,Partnered,38620.0,0,0,2013-05-11,56,318,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
32,5710,1970,42,Undergraduates,Partnered,40548.0,0,1,2012-10-10,31,120,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0
33,7373,1952,60,Doctorates,Single,46610.0,0,2,2012-10-29,8,302,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1
34,8755,1946,67,Masters,Partnered,68657.0,0,0,2013-02-20,4,1196,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
35,10738,1951,62,Masters,Single,49389.0,1,1,2013-08-29,55,65,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
36,4339,1970,44,Doctorates,Partnered,67353.0,0,1,2013-12-31,37,913,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
37,10755,1976,37,Masters,Partnered,23718.0,1,0,2013-09-02,76,81,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
38,8595,1973,41,Undergraduates,Single,42429.0,0,1,2014-02-11,99,67,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
39,2968,1943,70,Doctorates,Single,48948.0,0,0,2013-02-01,53,902,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
40,8601,1980,33,Undergraduates,Partnered,80011.0,0,1,2013-04-29,3,1395,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
41,503,1985,28,Masters,Partnered,20559.0,1,0,2013-03-12,88,53,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
42,8430,1957,56,Undergraduates,Partnered,21994.0,0,1,2012-12-24,4,22,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
43,7281,1959,54,Doctorates,Single,51381.5,0,0,2013-11-05,80,186,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0
44,2139,1975,38,Masters,Partnered,7500.0,1,0,2013-10-02,19,31,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
45,1371,1976,38,Undergraduates,Single,79941.0,0,0,2014-06-28,72,984,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
46,9909,1996,16,Masters,Partnered,7500.0,0,0,2012-11-09,24,122,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1
47,7286,1968,45,Undergraduates,Partnered,41728.0,1,0,2013-05-24,92,55,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
48,7244,1951,63,Undergraduates,Single,51381.5,2,1,2014-01-01,96,124,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0
49,6566,1954,58,Doctorates,Partnered,72550.0,1,1,2012-11-08,39,1319,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
50,8614,1957,57,Undergraduates,Single,65486.0,0,1,2014-05-12,29,507,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
51,4114,1964,48,Masters,Partnered,79143.0,0,0,2012-08-11,2,1693,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
52,1331,1977,36,Undergraduates,Single,35790.0,1,0,2013-01-02,54,72,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
53,2225,1977,37,Undergraduates,Single,82582.0,0,0,2014-06-07,54,1617,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1
54,9381,1978,35,Undergraduates,Partnered,66373.0,1,1,2013-06-12,57,606,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
55,6260,1955,57,Masters,Partnered,82384.0,0,0,2012-11-19,55,1957,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1
56,10383,1966,47,Undergraduates,Single,70287.0,0,0,2013-04-02,30,1093,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
57,7437,1988,26,Undergraduates,Single,27938.0,1,0,2014-04-28,31,29,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
58,8557,1982,31,Undergraduates,Single,51381.5,1,0,2013-06-17,57,46,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0
59,8375,1968,46,Doctorates,Partnered,55954.0,0,1,2014-03-03,63,518,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
60,6853,1982,31,Masters,Single,75777.0,0,0,2013-07-04,12,1438,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1
61,3076,1975,37,Undergraduates,Partnered,66653.0,1,1,2012-09-07,18,612,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
62,1012,1952,61,Undergraduates,Single,61823.0,0,1,2013-02-18,26,884,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
63,6518,1951,62,Doctorates,Single,67680.0,0,1,2013-06-11,8,606,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
64,4137,1948,65,Undergraduates,Partnered,70666.0,0,0,2013-12-06,29,1076,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
65,8082,1971,42,Undergraduates,Partnered,25721.0,1,0,2013-05-21,75,34,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1
66,1386,1967,47,Undergraduates,Partnered,32474.0,1,1,2014-05-11,0,11,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
67,9369,1979,35,Masters,Single,88194.0,0,1,2014-03-19,19,1274,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1
68,4477,1958,55,Undergraduates,Partnered,69096.0,0,1,2013-09-27,4,653,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
69,1357,1970,43,Undergraduates,Partnered,74854.0,1,2,2013-04-08,90,1562,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
70,1402,1954,58,Masters,Partnered,66991.0,0,0,2012-09-11,1,1253,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
71,10629,1973,39,Masters,Partnered,51381.5,1,0,2012-09-14,25,109,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0
72,6312,1959,54,Undergraduates,Partnered,65031.0,0,1,2013-03-17,29,863,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
73,8132,1975,38,Doctorates,Partnered,60631.0,1,1,2013-04-05,88,661,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0
74,1050,1952,62,Undergraduates,Partnered,28332.0,0,0,2014-04-30,58,65,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
75,5846,1977,35,Undergraduates,Single,40246.0,1,0,2012-12-19,68,13,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0
76,1859,1972,40,Masters,Partnered,75251.0,0,0,2012-08-27,34,1890,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1
77,7503,1976,36,Undergraduates,Single,75825.0,0,0,2012-10-12,40,2209,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1
78,10401,1976,37,Masters,Partnered,26326.0,0,0,2013-09-04,12,18,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0
79,1618,1965,48,Undergraduates,Partnered,56046.0,0,0,2013-01-02,9,692,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1
80,3332,1985,27,Undergraduates,Single,29760.0,1,0,2012-08-29,87,165,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
81,2261,1969,44,Undergraduates,Partnered,26304.0,1,0,2013-06-23,5,16,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
82,5346,1973,40,Masters,Partnered,23559.0,1,0,2013-07-03,87,79,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0
83,4119,1963,50,Masters,Partnered,38620.0,0,0,2013-05-11,56,318,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
84,535,1987,27,Undergraduates,Single,81361.0,0,0,2014-02-25,18,778,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
85,5268,1960,53,Undergraduates,Partnered,29440.0,1,1,2013-08-11,95,56,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
86,273,1970,43,Masters,Partnered,36138.0,1,1,2013-07-16,48,151,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0
87,4452,1957,57,Undergraduates,Single,50388.0,0,1,2014-05-28,3,372,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1
88,8504,1973,41,Undergraduates,Partnered,79593.0,0,0,2014-05-12,70,1366,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0
89,771,1967,47,Undergraduates,Partnered,54178.0,0,1,2014-01-21,79,194,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
90,8996,1957,55,Doctorates,Partnered,51381.5,2,1,2012-11-19,4,603,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0
91,9235,1957,57,Undergraduates,Single,51381.5,1,1,2014-05-27,45,18,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0
92,5798,1973,40,Masters,Partnered,51381.5,0,0,2013-11-23,87,985,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0
93,11178,1972,42,Masters,Single,42394.0,1,0,2014-03-23,69,32,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
94,2230,1970,44,Doctorates,Partnered,23626.0,1,0,2014-05-24,84,43,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
95,7516,1983,31,Undergraduates,Partnered,30096.0,1,0,2014-05-22,30,45,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
96,7247,1960,52,Undergraduates,Single,47916.0,0,1,2012-11-22,72,606,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0
97,11100,1972,41,Undergraduates,Single,51813.0,1,1,2013-04-11,37,63,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
98,4646,1951,62,Masters,Partnered,78497.0,0,0,2013-12-01,44,978,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
99,3037,1983,30,Doctorates,Partnered,50150.0,0,0,2013-06-20,32,410,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
100,1473,1960,53,Masters,Single,47823.0,0,1,2013-07-23,0,72,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
101,1016,1959,55,Doctorates,Single,34554.0,0,1,2014-03-30,43,55,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
102,4518,1979,34,Undergraduates,Partnered,85693.0,0,1,2013-04-20,59,1169,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
103,9370,1945,68,Doctorates,Partnered,65846.0,0,0,2013-05-17,68,1120,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0
104,8908,1959,55,Undergraduates,Partnered,87195.0,0,0,2014-05-08,35,1097,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1
105,8373,1979,34,Primary/Secondary,Partnered,24594.0,1,0,2013-12-10,94,29,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0
106,7533,1964,49,Undergraduates,Partnered,49096.0,1,1,2013-09-24,15,187,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
107,2683,1969,44,Undergraduates,Partnered,52413.0,0,2,2013-02-02,56,910,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
108,3629,1978,34,Undergraduates,Single,38557.0,1,0,2012-12-19,17,145,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
109,10991,1960,52,Masters,Partnered,89058.0,0,0,2012-12-07,18,850,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
110,5077,1979,34,Undergraduates,Partnered,77298.0,0,1,2013-11-02,46,969,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
111,7431,1991,21,Doctorates,Single,68126.0,0,0,2012-11-10,40,1820,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1
112,3267,1963,51,Masters,Partnered,57288.0,0,1,2014-06-25,27,608,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0
113,999,1991,22,Undergraduates,Single,86037.0,0,0,2013-01-02,95,730,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1
114,9215,1980,32,Doctorates,Partnered,43974.0,1,0,2012-12-12,19,551,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
115,2286,1962,51,Undergraduates,Single,50785.0,1,1,2013-09-10,27,114,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
116,1592,1970,44,Undergraduates,Partnered,90765.0,0,0,2014-01-24,25,1724,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0
117,367,1978,35,Masters,Partnered,36550.0,1,0,2013-02-19,74,577,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0
118,5234,1967,46,Masters,Partnered,30753.0,1,1,2013-07-11,85,81,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
119,9862,1969,44,Undergraduates,Partnered,21918.0,1,0,2013-11-14,37,33,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
120,9805,1953,60,Masters,Partnered,56129.0,0,1,2013-06-20,65,660,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
121,6205,1967,47,Masters,Single,32557.0,1,0,2014-02-24,13,80,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1
122,8442,1985,28,Masters,Partnered,19510.0,2,0,2013-09-04,63,30,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
123,7386,1976,37,Undergraduates,Single,30992.0,1,0,2013-04-22,83,43,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
124,7215,1983,30,Undergraduates,Single,101970.0,0,0,2013-03-12,69,1135,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1
125,1491,1965,48,Masters,Partnered,71488.0,0,0,2013-02-18,87,559,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
126,11071,1984,29,Undergraduates,Single,79607.0,0,0,2013-04-21,37,1923,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1
127,3381,1953,61,Masters,Partnered,54348.0,1,1,2014-06-08,51,90,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
128,8268,1961,52,Doctorates,Partnered,51381.5,0,1,2013-07-11,23,404,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0
129,11051,1956,58,Doctorates,Partnered,77376.0,1,1,2014-05-10,72,661,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
130,8026,1952,61,Undergraduates,Partnered,62998.0,0,1,2013-09-30,10,463,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0
131,433,1958,55,Masters,Single,61331.0,1,1,2013-03-10,42,632,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
132,9597,1969,45,Undergraduates,Partnered,73448.0,0,0,2014-02-10,10,725,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
133,1295,1963,50,Undergraduates,Partnered,51381.5,0,1,2013-08-11,96,725,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0
134,5290,1964,49,Doctorates,Partnered,41551.0,1,1,2013-08-14,51,279,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
135,1685,1967,46,Doctorates,Partnered,62981.0,0,0,2013-03-17,21,1482,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0
136,5342,1976,36,Primary/Secondary,Single,9548.0,1,0,2012-08-08,31,29,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
137,9579,1959,54,Doctorates,Partnered,33762.0,2,1,2013-07-07,61,106,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0
138,7660,1973,41,Doctorates,Single,35860.0,1,1,2014-05-19,37,49,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1
139,1461,1965,48,Doctorates,Single,36921.0,1,1,2013-07-28,74,38,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0
140,821,1992,20,Masters,Single,92859.0,0,0,2012-10-19,46,2077,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
141,11084,1976,37,Masters,Partnered,65104.0,0,1,2013-11-14,4,1053,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1
142,8690,1962,51,Undergraduates,Partnered,86111.0,0,0,2013-04-19,73,1385,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
143,2937,1974,39,Doctorates,Single,68352.0,0,1,2013-08-28,47,871,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
144,9701,1988,25,Undergraduates,Partnered,41883.0,1,0,2013-03-19,13,312,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
145,9949,1976,36,Undergraduates,Partnered,59809.0,0,2,2012-10-18,36,877,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
146,10837,1975,37,Undergraduates,Partnered,23957.0,1,0,2012-10-28,47,68,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1
147,3120,1981,32,Undergraduates,Partnered,38547.0,1,0,2013-08-28,49,22,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0
148,5885,1973,39,Masters,Partnered,35688.0,2,1,2012-08-22,94,211,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
149,4050,1966,48,Masters,Partnered,49605.0,0,0,2014-06-21,65,127,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
150,3830,1953,61,Masters,Partnered,59354.0,0,2,2014-04-24,59,459,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
151,7987,1969,45,Undergraduates,Partnered,65747.0,0,1,2014-03-07,96,460,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0
152,7798,1972,40,Masters,Partnered,46344.0,0,1,2012-12-14,28,429,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
153,92,1988,26,Undergraduates,Single,34176.0,1,0,2014-05-12,12,89,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
154,7055,1952,60,Doctorates,Partnered,61010.0,0,1,2012-10-09,57,1021,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
155,10240,1949,64,Undergraduates,Partnered,69372.0,0,0,2013-02-19,10,1381,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1
156,3025,1958,55,Undergraduates,Single,49967.0,0,1,2013-07-08,4,306,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
157,9283,1978,35,Undergraduates,Single,60199.0,1,2,2013-09-12,49,18,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
158,9970,1977,36,Undergraduates,Partnered,55375.0,0,1,2013-10-17,3,162,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
159,2730,1955,58,Undergraduates,Single,80317.0,0,0,2013-08-20,64,1231,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0
160,2795,1958,55,Masters,Single,30523.0,2,1,2013-07-01,0,13,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
161,9260,1945,67,Doctorates,Partnered,70356.0,0,0,2012-11-05,20,1706,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
162,8182,1984,30,Undergraduates,Partnered,23228.0,1,0,2014-01-05,91,121,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
163,10095,1975,38,Doctorates,Single,74165.0,0,0,2013-05-01,9,1293,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
164,8475,1973,41,Doctorates,Partnered,157243.0,0,1,2014-03-01,98,1608,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0
165,4370,1966,47,Undergraduates,Partnered,43482.0,2,1,2013-11-13,83,88,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
166,10573,1953,60,Undergraduates,Single,62551.0,0,0,2013-11-18,27,421,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0
167,3712,1959,54,Undergraduates,Single,52332.0,0,0,2013-08-28,63,259,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0
168,6637,1988,25,Undergraduates,Single,66951.0,0,0,2013-11-02,46,1117,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
169,3152,1957,57,Undergraduates,Partnered,26091.0,1,1,2014-02-25,84,89,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
170,5610,1965,49,Undergraduates,Partnered,33456.0,1,1,2014-04-21,58,36,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
171,6460,1982,31,Undergraduates,Partnered,28718.0,1,0,2013-07-13,78,57,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
172,1349,1970,44,Undergraduates,Partnered,50447.0,2,0,2014-04-21,4,148,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
173,1880,1959,55,Doctorates,Partnered,53537.0,1,1,2014-01-30,17,93,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
174,641,1967,47,Undergraduates,Single,52074.0,0,1,2014-04-04,77,119,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0
175,8717,1975,37,Doctorates,Partnered,80427.0,0,1,2012-09-12,56,1835,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
176,10314,1948,65,Doctorates,Partnered,83837.0,0,0,2012-12-16,79,1318,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1
